{'user_id': '1', 'anime_id': 1, 'rating': -1}
{'user_id': '1', 'anime_id': 1, 'rating': 10}
{'user_id': '1', 'anime_id': 5, 'rating': 5}
{'user_id': '3', 'anime_id': 1, 'rating': 6}
{'user_id': '4', 'anime_id': 1, 'rating': 7}
{'user_id': '5', 'anime_id': 1, 'rating': 8}
{'user_id': '6', 'anime_id': 1, 'rating': 7}
{'user_id': '7', 'anime_id': 1, 'rating': 4}
{'user_id': '8', 'anime_id': 1, 'rating': 9}
{'user_id': '9', 'anime_id': 1, 'rating': 10}
{'user_id': '1', 'anime_id': 1, 'rating': -1}
{'user_id': '1', 'anime_id': 1, 'rating': 10}
{'user_id': '1', 'anime_id': 5, 'rating': 5}
{'user_id': '3', 'anime_id': 1, 'rating': 6}
{'user_id': '4', 'anime_id': 1, 'rating': 7}
{'user_id': '5', 'anime_id': 1, 'rating': 8}
{'user_id': '6', 'anime_id': 1, 'rating': 7}
{'user_id': '7', 'anime_id': 1, 'rating': 4}
{'user_id': '8', 'anime_id': 1, 'rating': 9}
{'user_id': '9', 'anime_id': 1, 'rating': 10}
{'user_id': '9', 'anime_id': 3, 'rating': 10}
{'user_id': '9', 'anime_id': 3, 'rating': 10}
{'user_id': '9', 'anime_id': 3, 'rating': 10}
{'user_id': '9', 'anime_id': 3, 'rating': 10}
{'user_id': '9', 'anime_id': 3, 'rating': 10}
{'user_id': '9', 'anime_id': 3, 'rating': 10}
{'user_id': '9', 'anime_id': 3, 'rating': 10}
{'user_id': '9', 'anime_id': 3, 'rating': 10}
{'user_id': '9', 'anime_id': 3, 'rating': 10}
